ear_left,ear_right,ear_avg,mar,pitch,yaw,roll,perclos,blink_rate,label
0.2206,0.186,0.2033,0.0056,-12.2153,8.0579,-3.9323,1.0,0.0,1
0.4083,0.3812,0.3948,0.0082,13.8471,24.8313,-173.8051,0.0,0.0,0
0.3731,0.3601,0.3666,0.017,34.7303,-14.0049,-160.4591,0.0,0.0,2
0.1253,0.0641,0.0947,0.0029,15.8861,-3.5668,4.9413,1.0,0.0,0
0.1871,0.2183,0.2027,0.4527,7.4645,-35.4792,-0.7144,1.0,0.0,2
0.1175,0.1161,0.1168,0.0077,-18.1138,7.2452,-5.6496,1.0,0.0,1
0.0372,0.0265,0.0319,0.0081,-50.1254,-2.0068,2.8464,1.0,0.0,2
0.1734,0.1611,0.1673,0.0566,-28.2547,-0.2152,1.0131,1.0,0.0,1
0.0897,0.1736,0.1316,0.0074,24.914,16.3505,-154.8466,1.0,0.0,1
0.2284,0.2219,0.2251,0.0048,-3.9414,-5.3462,4.5808,0.0,0.0,1
0.4255,0.3596,0.3926,0.1185,33.7504,19.3822,-138.6519,0.0,0.0,2
0.2266,0.2297,0.2281,0.0047,-12.4677,-3.6766,-0.9911,0.0,0.0,1
0.3925,0.354,0.3732,0.0205,26.7732,-27.3485,173.2153,0.0,0.0,2
0.3347,0.3396,0.3371,0.0064,22.2979,0.9521,176.9236,0.0,0.0,0
0.1708,0.2067,0.1888,0.0718,33.9867,33.5329,-160.2373,1.0,0.0,2
0.2758,0.3375,0.3067,0.0044,22.8046,-20.8641,-163.7858,0.0,0.0,2
0.0694,0.0862,0.0778,0.0814,-27.2953,-4.1415,4.8079,1.0,0.0,1
0.2376,0.2288,0.2332,0.0299,-17.2653,4.9775,-1.0289,0.0,0.0,1
0.115,0.1299,0.1224,0.0101,-41.6651,2.234,-1.8673,1.0,0.0,0
0.1167,0.0808,0.0988,0.0635,-49.6458,-3.3947,0.9896,1.0,0.0,2
0.0621,0.0757,0.0689,0.0009,23.6636,3.8768,-5.2002,1.0,0.0,0
0.3456,0.3593,0.3525,0.4013,-26.9906,27.1803,-11.5522,0.0,0.0,2
0.3308,0.1343,0.2325,0.0078,26.7206,-36.208,163.3523,0.0,0.0,2
0.1993,0.2089,0.2041,0.3556,2.795,35.6034,-179.5046,1.0,0.0,2
0.164,0.2086,0.1863,0.0524,-15.9242,22.8683,177.528,1.0,0.0,0
0.164,0.1471,0.1555,0.0201,-23.1555,-32.3628,173.3526,1.0,0.0,2
0.3853,0.3727,0.379,0.4439,4.9094,39.8147,-5.1136,0.0,0.0,2
0.1366,0.1253,0.1309,0.0084,56.036,2.0125,-176.6411,1.0,0.0,0
0.2849,0.3063,0.2956,0.0456,14.4746,-19.9635,169.0703,0.0,0.0,2
0.256,0.121,0.1885,0.0386,40.6154,-37.6405,161.0449,1.0,0.0,2
0.3424,0.4434,0.3929,0.0277,28.4216,-40.3794,-175.2025,0.0,0.0,2
0.2537,0.2353,0.2445,0.0778,-15.3134,-4.1387,6.0231,0.0,0.0,1
0.2817,0.2564,0.269,0.0113,16.5015,-34.8626,-149.5861,0.0,0.0,2
0.3023,0.2949,0.2986,0.0032,27.4048,0.9287,-178.3545,0.0,0.0,0
0.2155,0.238,0.2268,0.4654,-4.8881,2.6445,2.7676,0.0,0.0,1
0.2285,0.217,0.2228,0.0064,-10.7857,0.8399,5.2854,0.0,0.0,1
0.1352,0.1771,0.1562,0.6658,-20.9726,2.3817,3.2774,1.0,0.0,1
0.3534,0.3022,0.3278,0.0102,11.1515,-43.3192,-167.4439,0.0,0.0,2
0.0499,0.0164,0.0332,0.0044,-7.4527,7.5624,-5.1435,1.0,0.0,1
0.3724,0.3921,0.3822,0.017,15.6869,19.7029,-169.6023,0.0,0.0,0
0.3928,0.4799,0.4364,0.2555,10.8675,36.889,-177.0785,0.0,0.0,0
0.1184,0.1175,0.118,0.0024,-49.8274,2.2978,2.7844,1.0,0.0,0
0.1981,0.1088,0.1534,0.0161,-38.1714,-3.1729,-7.2017,1.0,0.0,2
0.2751,0.2428,0.2589,0.0232,28.6588,28.8485,-152.0459,0.0,0.0,2
0.3073,0.3541,0.3307,0.0661,31.975,-32.1889,-178.4688,0.0,0.0,2
0.1866,0.1522,0.1694,0.1044,-16.9788,-4.3076,5.7744,1.0,0.0,1
0.3664,0.3706,0.3685,0.0865,-7.7313,1.4846,-0.434,0.0,0.0,0
0.0293,0.0374,0.0334,0.0086,28.4013,-0.0692,175.7349,1.0,0.0,1
0.3926,0.3533,0.3729,0.0847,10.6414,20.8825,176.8339,0.0,0.0,2
0.4342,0.4697,0.4519,0.0218,23.5368,28.0245,-161.3565,0.0,0.0,0
0.2688,0.1299,0.1993,0.0191,35.3099,-34.748,161.8288,1.0,0.0,2
0.1804,0.1876,0.184,0.02,14.1647,-1.074,-2.7977,1.0,0.0,0
0.2209,0.2238,0.2223,0.0022,-3.0868,3.8108,-2.0058,0.0,0.0,1
0.1647,0.189,0.1769,0.0035,22.3585,0.4233,-2.1518,1.0,0.0,0
0.2145,0.1355,0.175,0.0061,29.9949,-18.4591,176.6969,1.0,0.0,1
0.7035,0.2361,0.4698,0.0305,-22.5872,-44.7597,6.5356,0.0,0.0,2
0.0102,0.009,0.0096,0.0141,-10.3847,3.5783,0.3199,1.0,0.0,1
0.2074,0.1782,0.1928,0.0133,-21.9627,-5.2785,5.6519,1.0,0.0,1
0.1832,0.1806,0.1819,0.088,-13.1622,-11.0939,3.2227,1.0,0.0,2
0.5168,0.4358,0.4763,0.0195,16.4734,-46.2708,-170.8159,0.0,0.0,2
0.4839,0.4679,0.4759,0.1488,14.7385,-27.8029,173.5135,0.0,0.0,0
0.3216,0.31,0.3158,0.0063,24.9727,-25.5854,168.4133,0.0,0.0,0
0.3115,0.3149,0.3132,0.6457,-12.7293,1.2404,2.0275,0.0,0.0,1
0.4557,0.3811,0.4184,0.0406,24.833,-41.6784,173.3485,0.0,0.0,2
0.0981,0.117,0.1076,0.0036,-25.7518,-19.5719,172.8331,1.0,0.0,2
0.464,0.4923,0.4782,0.0403,11.2782,4.2932,-177.8929,0.0,0.0,2
0.0867,0.1521,0.1194,0.0216,27.6646,49.6478,-166.4413,1.0,0.0,1
0.3534,0.3118,0.3326,0.0107,0.3917,-32.0063,176.7227,0.0,0.0,0
0.6122,0.3446,0.4784,0.0233,-7.3032,-37.4741,10.8209,0.0,0.0,2
0.1664,0.1479,0.1571,0.0875,-43.5694,3.5127,6.2427,1.0,0.0,0
0.3561,0.35,0.3531,0.0277,-9.1191,-10.8984,7.2309,0.0,0.0,0
0.1254,0.1567,0.1411,0.1198,12.8312,5.4361,176.9498,1.0,0.0,1
0.051,0.0592,0.0551,0.0626,-11.0049,1.1348,-2.4216,1.0,0.0,1
0.1048,0.1076,0.1062,0.0063,-22.6013,-5.3692,6.5075,1.0,0.0,1
0.4963,0.4119,0.4541,0.011,32.2647,-38.4447,172.8608,0.0,0.0,2
0.1092,0.0891,0.0992,0.0278,22.3367,-14.4599,165.1196,1.0,0.0,1
0.3022,0.2921,0.2972,0.4655,-11.3451,-2.0859,2.2973,0.0,0.0,1
0.3808,0.3172,0.349,0.0213,59.1949,-42.6853,-174.9012,0.0,0.0,2
0.3322,0.2854,0.3088,0.0145,15.2473,-33.0287,-173.8901,0.0,0.0,2
0.022,0.0196,0.0208,0.0055,-8.075,10.012,-5.7438,1.0,0.0,1
0.2684,0.1046,0.1865,0.0176,27.0648,-34.5437,161.5611,1.0,0.0,0
0.3794,0.3489,0.3641,0.3316,-7.7543,-0.2471,-2.3125,0.0,0.0,0
0.2951,0.283,0.289,0.1967,-5.6601,6.0938,-2.2977,0.0,0.0,0
0.1391,0.1368,0.138,0.0018,-54.0848,1.6376,4.1402,1.0,0.0,0
0.3412,0.3107,0.3259,0.0128,25.1878,-29.2436,166.0797,0.0,0.0,0
0.308,0.2459,0.2769,0.3779,23.3905,-18.8729,167.7556,0.0,0.0,1
0.1563,0.1647,0.1605,0.0073,-40.4787,1.0744,-0.026,1.0,0.0,0
0.3225,0.3324,0.3274,0.0071,26.2764,19.0803,-176.8645,0.0,0.0,2
0.3151,0.3233,0.3192,0.0031,15.5095,0.9387,-177.857,0.0,0.0,0
0.2686,0.1031,0.1858,0.0084,33.083,-33.9006,162.9904,1.0,0.0,2
0.2307,0.2251,0.2279,0.0087,-13.582,0.0117,0.8019,0.0,0.0,1
0.2221,0.2175,0.2198,0.0045,-7.1047,-3.6121,0.8626,1.0,0.0,1
0.5121,0.422,0.4671,0.0118,8.9445,-24.7053,167.769,0.0,0.0,0
0.1313,0.1216,0.1264,0.0026,-48.6442,-0.6759,-3.3592,1.0,0.0,0
0.0241,0.0278,0.026,0.0034,-8.4182,8.8933,-5.1812,1.0,0.0,1
0.1785,0.1848,0.1816,0.0023,14.5907,4.4477,175.6502,1.0,0.0,1
0.3206,0.217,0.2688,0.0183,14.5131,-38.5224,-166.995,0.0,0.0,2
0.3019,0.3191,0.3105,0.2385,31.8886,5.2661,176.077,0.0,0.0,0
0.188,0.198,0.193,0.0042,16.1227,0.1213,176.4347,1.0,0.0,1
